Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Team,Player Name,Image URL
17,17,2,890,129,59.33,564,157.80,3,4,85,33,GT,Shubman Gill,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png
14,14,1,730,84,56.15,475,153.68,0,8,60,36,RCB,Faf Du Plessis,https://scores.iplt20.com/ipl/playerimages/Faf Du Plessis.png
16,15,2,672,92*,51.69,481,139.70,0,6,77,18,CSK,Devon Conway,https://scores.iplt20.com/ipl/playerimages/Devon Conway.png
14,14,2,639,101*,53.25,457,139.82,2,6,65,16,RCB,Virat Kohli,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png
14,14,1,625,124,48.08,382,163.61,1,5,82,26,RR,Yashasvi Jaiswal,https://scores.iplt20.com/ipl/playerimages/Yashasvi Jaiswal.png
16,16,2,605,103*,43.21,334,181.13,1,5,65,28,MI,Suryakumar Yadav,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png
16,15,1,590,92,42.14,400,147.50,0,4,46,30,CSK,Ruturaj Gaikwad,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png
14,14,0,516,86,36.86,392,131.63,0,6,69,10,DC,David Warner,https://scores.iplt20.com/ipl/playerimages/David Warner.png
14,14,6,474,67*,59.25,317,149.52,0,4,31,29,KKR,Rinku Singh,https://scores.iplt20.com/ipl/playerimages/Rinku Singh.png
15,15,0,454,75,30.27,318,142.76,0,3,54,18,MI,Ishan Kishan,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png
16,16,7,452,100*,50.22,282,160.28,1,2,40,22,MI,Cameron Green,https://scores.iplt20.com/ipl/playerimages/Cameron Green.png
12,11,2,448,104,49.78,253,177.07,1,2,32,25,SRH,Heinrich Klaasen,https://scores.iplt20.com/ipl/playerimages/Heinrich Klaasen.png
16,14,3,418,52,38.00,264,158.33,0,3,12,35,CSK,Shivam Dube,https://scores.iplt20.com/ipl/playerimages/Shivam Dube.png
14,14,1,413,75,31.77,293,140.95,0,3,39,20,KKR,Nitish Rana,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png
15,15,2,408,89*,31.38,272,150.00,0,3,28,27,LSG,Marcus Stoinis,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png
14,14,0,404,104,28.86,277,145.84,1,2,32,21,KKR,Venkatesh Iyer,https://scores.iplt20.com/ipl/playerimages/Venkatesh Iyer.png
14,14,2,400,77,33.33,218,183.48,0,5,29,31,RCB,Glenn Maxwell,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png
14,14,0,392,95,28.00,282,139.00,0,4,42,14,RR,Jos Buttler,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png
13,13,0,379,73,29.15,263,144.10,0,4,38,22,LSG,Kyle Mayers,https://scores.iplt20.com/ipl/playerimages/Kyle Mayers.png
11,11,2,373,99*,41.44,261,142.91,0,3,49,12,PBKS,Shikhar Dhawan,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png
17,17,1,371,81,23.19,287,129.26,0,2,47,8,GT,Wriddhiman Saha,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png
14,14,2,362,66*,30.17,236,153.38,0,3,25,24,RR,Sanju Samson,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png
8,8,1,362,96,51.71,256,141.40,0,3,33,12,GT,Sai Sudharsan,https://scores.iplt20.com/ipl/playerimages/Sai Sudharsan.png
15,15,3,358,62,29.83,207,172.94,0,2,26,26,LSG,Nicholas Pooran,https://scores.iplt20.com/ipl/playerimages/Nicholas Pooran.png
14,14,0,358,103,25.57,238,150.42,1,1,38,19,PBKS,Simran Singh,https://scores.iplt20.com/ipl/playerimages/Simran Singh.png
16,15,4,346,66,31.45,253,136.75,0,2,26,15,GT,Hardik Pandya,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png
11,11,3,343,84*,42.88,209,164.11,0,1,26,23,MI,Tilak Varma,https://scores.iplt20.com/ipl/playerimages/Tilak Varma.png
16,16,0,332,65,20.75,250,132.80,0,2,35,17,MI,Rohit Sharma,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png
14,11,1,326,71*,32.60,189,172.48,0,2,24,16,CSK,Ajinkya Rahane,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png
14,14,1,309,49*,23.77,198,156.06,0,0,22,21,PBKS,Jitesh Sharma,https://scores.iplt20.com/ipl/playerimages/Jitesh Sharma.png
14,10,2,301,63*,37.63,188,160.10,0,3,27,15,GT,Vijay Shankar,https://scores.iplt20.com/ipl/playerimages/Vijay Shankar.png
14,13,5,300,56*,37.50,197,152.28,0,1,12,23,RR,Shimron Hetmyer,https://scores.iplt20.com/ipl/playerimages/Shimron Hetmyer.png
8,8,0,285,61,35.63,188,151.59,0,2,36,12,KKR,Jason Roy,https://scores.iplt20.com/ipl/playerimages/Jason Roy.png
14,13,3,283,54,28.30,203,139.40,0,1,21,15,DC,Axar Patel,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png
9,9,1,279,94,34.88,171,163.15,0,2,20,19,PBKS,Liam Livingstone,https://scores.iplt20.com/ipl/playerimages/Liam Livingstone.png
14,13,3,276,55,27.60,203,135.96,0,1,20,13,PBKS,Sam Curran,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png
9,9,1,274,74,34.25,242,113.22,0,2,28,4,LSG,K L Rahul,https://scores.iplt20.com/ipl/playerimages/K L Rahul.png
13,13,1,273,74*,22.75,213,128.16,0,1,29,10,SRH,Rahul Tripathi,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png
10,10,0,270,83,27.00,210,128.57,0,1,29,6,SRH,Mayank Agarwal,https://scores.iplt20.com/ipl/playerimages/Mayank Agarwal.png
11,11,1,261,52,26.10,200,130.50,0,2,31,6,RR,Devdutt Padikkal,https://scores.iplt20.com/ipl/playerimages/Devdutt Padikkal.png
16,13,5,259,46,32.38,178,145.50,0,0,18,13,GT,David Miller,https://scores.iplt20.com/ipl/playerimages/David Miller.png
13,13,2,248,50,22.55,197,125.88,0,1,18,8,SRH,Aiden Markram,https://scores.iplt20.com/ipl/playerimages/Aiden Markram.png
14,10,1,241,64,26.78,166,145.18,0,2,23,12,MI,Nehal Wadera,https://scores.iplt20.com/ipl/playerimages/Nehal Wadera.png
15,12,2,238,59*,23.80,172,138.37,0,1,13,12,LSG,Ayush Badoni,https://scores.iplt20.com/ipl/playerimages/Ayush Badoni.png
16,15,6,231,45*,25.67,146,158.21,0,0,12,15,MI,Tim David,https://scores.iplt20.com/ipl/playerimages/Tim David.png
14,14,3,227,42,20.64,156,145.51,0,0,13,18,KKR,Andre Russell,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png
11,11,0,227,81,20.64,170,133.52,0,2,17,15,KKR,Rahmanullah Gurbaz,https://scores.iplt20.com/ipl/playerimages/Rahmanullah Gurbaz.png
11,11,0,226,67,20.55,157,143.94,0,2,28,6,SRH,Abhishek Sharma,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png
9,9,1,218,87,27.25,133,163.90,0,2,24,10,DC,Phil Salt,https://scores.iplt20.com/ipl/playerimages/Phil Salt.png
9,9,2,209,82*,29.86,141,148.22,0,1,17,11,DC,Rilee Rossouw,https://scores.iplt20.com/ipl/playerimages/Rilee Rossouw.png
16,12,4,190,25*,23.75,133,142.85,0,0,11,9,CSK,Ravindra Jadeja,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png
11,11,2,190,100*,21.11,154,123.37,1,0,23,4,SRH,Harry Brook,https://scores.iplt20.com/ipl/playerimages/Harry Brook.png
15,14,4,188,49*,18.80,165,113.93,0,0,15,6,LSG,Krunal Pandya,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png
7,7,0,186,66,26.57,129,144.18,0,2,20,6,PBKS,Atharva Taide,https://scores.iplt20.com/ipl/playerimages/Atharva Taide.png
9,8,4,169,37*,42.25,128,132.03,0,0,10,11,SRH,Abdul Samad,https://scores.iplt20.com/ipl/playerimages/Abdul Samad.png
10,9,0,160,50,17.78,146,109.58,0,1,15,3,DC,Manish Pandey,https://scores.iplt20.com/ipl/playerimages/Manish Pandey.png
16,12,2,158,27*,15.80,113,139.82,0,0,10,9,CSK,Ambati Rayudu,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png
